tract,DIABETES_CrudePrev,OBESITY_CrudePrev,CHD_CrudePrev,percent_uninsured,percent_no_car,access_constraint,poverty_rate,median_income,percent_no_hs,tract_str,fast_food_density,grocery_density,fast_food_ratio,no_grocery,dist_to_fast_food_km,dist_to_grocery_km,dist_scaled,no_car_scaled,raw_label,median_age,snap_rate,pct_under_18,pct_65_plus,pct_working_age
16.0,8.8,35.0,4.7,7.8,3.537101114955786,0.1420819713663776,11.5,70534.0,4.852824184566428,1600,0.8898564848559372,0.8898564848559372,0.8888888888888888,0,1.0397898890054422,0.9361181314462274,-0.3110611023837936,-0.4567654723703576,Census Tract 16; Lancaster County; Nebraska!!Estimate,40.1,9.47,17.9,18.65,63.45
17.0,12.9,41.3,6.3,7.2,17.17530163236338,-0.8709352759163986,23.8,31004.0,17.80821917808219,1700,0.0,0.4530920704221787,0.0,0,0.7604005029566384,0.4492320072916671,-0.5481407813067936,1.5888897626628833,Census Tract 17; Lancaster County; Nebraska!!Estimate,34.6,18.95,14.16,13.34,72.5
18.0,10.0,39.5,4.7,7.9,6.157270029673591,0.0425485384449987,56.7,26382.0,9.22242314647378,1800,0.5488059918187481,2.1952239672749925,0.2222222222222222,0,0.321831926612644,0.2043510017608481,-0.6673807992193973,-0.0637545139068514,Census Tract 18; Lancaster County; Nebraska!!Estimate,22.2,14.07,16.89,6.31,76.8
19.0,6.6,34.0,3.8,3.8,31.83632734530938,-1.6047519739774212,55.3,38099.0,0.6920415224913495,1900,12.782755720970112,0.6727766168931638,12.666666666666666,0,0.0567485439594574,0.7049065031518955,-0.4236450843045501,3.787963164052192,Census Tract 19; Lancaster County; Nebraska!!Estimate,21.8,7.14,0.0,7.19,92.81
20.01,11.2,41.0,5.6,16.4,33.52750809061489,-2.276830830765307,25.8,31080.0,13.45229924502402,2001,0.0,1.0535263924485012,0.0,0,0.3778179217595289,0.418008291922236,-0.5633445590431622,4.041630995127552,Census Tract 20.01; Lancaster County; Nebraska!!Estimate,30.6,22.33,14.65,9.3,76.05
20.02,10.8,40.7,5.2,27.6,21.64614387556708,-1.4165147534482332,38.4,30673.0,19.29631665750412,2002,2.0584708328233834,2.0584708328233834,0.8,0,0.2760311502582034,0.2874497711733249,-0.6269174781391023,2.2594915644287283,Census Tract 20.02; Lancaster County; Nebraska!!Estimate,31.3,18.54,19.65,7.98,72.37
21.0,10.2,37.7,4.9,19.2,24.3924392439244,-0.6343317799726155,27.6,39089.0,17.03442188879082,2100,0.0,0.5407175975628067,0.0,0,1.159890581752245,1.0872896442955036,-0.2374510897944158,2.6714207987919423,Census Tract 21; Lancaster County; Nebraska!!Estimate,24.4,16.88,20.41,5.93,73.66
22.0,9.1,35.5,4.9,8.3,11.581676750216076,-0.4978876217807618,12.6,63173.0,7.1208298289879455,2200,1.1262870021838671,0.8044907158456194,1.2727272727272727,0,0.2336199828894432,0.2113776838390054,-0.6639592937618816,0.7498767265683026,Census Tract 22; Lancaster County; Nebraska!!Estimate,34.2,11.67,25.16,13.1,61.74
23.0,9.6,36.5,5.2,8.9,5.8893280632411065,0.0464280703812415,14.4,70595.0,5.486725663716814,2300,0.0,0.5479204242481306,0.0,0,1.031740002329793,0.6576354268827802,-0.4466628106849981,-0.1039443384821761,Census Tract 23; Lancaster County; Nebraska!!Estimate,36.2,12.98,17.46,13.68,68.86
24.0,8.4,32.5,4.8,1.6,1.6764459346186085,0.1773109704719945,2.4,143371.0,1.496861419604056,2400,0.0,0.4996104128904546,0.0,0,2.019824222491977,1.0800842929728411,-0.2409595947473356,-0.7358535386728156,Census Tract 24; Lancaster County; Nebraska!!Estimate,41.5,3.58,28.85,16.7,54.45
25.0,10.4,35.7,6.3,7.6,5.024711696869852,0.0656374447907705,10.0,72649.0,3.7735849056603774,2500,1.0606244694502256,0.3535414898167419,2.4,0,0.8211464495685464,0.997969745240494,-0.2809436683232593,-0.2336320486683714,Census Tract 25; Lancaster County; Nebraska!!Estimate,42.1,4.38,18.5,20.69,60.81
27.01,8.8,33.6,5.2,9.5,15.291445874337622,-0.7835345351676404,19.4,46090.0,2.645861601085482,2701,0.8840689422726986,0.8840689422726986,0.8,0,0.4868884807154747,0.3431360965474488,-0.5998021107356392,1.3063217370253315,Census Tract 27.01; Lancaster County; Nebraska!!Estimate,24.9,6.23,17.29,12.34,70.37
27.02,11.1,35.2,6.9,4.8,4.699165568730787,0.102310546007112,6.8,80551.0,3.4362416107382545,2702,0.4829726952396622,0.1609908984132207,2.0,0,0.9214472699426716,0.8310751792073567,-0.3622097142551189,-0.282462181384375,Census Tract 27.02; Lancaster County; Nebraska!!Estimate,38.4,11.91,24.44,18.87,56.69
